rollout,naive_id_interval_coverage,stress_global_interval_coverage,distance_scaled_interval_coverage,selective_interval_coverage,always_predict_mae,selective_mae,acceptance_rate,ood_rejection_rate,in_domain_acceptance_rate,far_shift_global_coverage,far_shift_scaled_coverage,mean_global_interval_width,mean_scaled_interval_width,acceptance_threshold,id_half_width,global_half_width,scaled_base_half_width
36,0.46153846153846156,0.6923076923076923,0.9173076923076923,0.8125,0.17694338289939227,0.05281489080494961,0.2153846153846154,0.9725,0.8416666666666667,0.39090909090909093,0.9681818181818181,0.4246414552507005,0.824710712818797,0.8149894984073288,0.09776946271891618,0.21232072762535026,0.1048354486382269
37,0.5346153846153846,0.7076923076923077,0.9576923076923077,0.9043478260869565,0.14934956076174488,0.05209169209126105,0.22115384615384615,0.9725,0.8666666666666667,0.4318181818181818,0.9818181818181818,0.3797964513894909,0.8591995478505045,0.7617137523728305,0.11570322502396402,0.18989822569474546,0.11782346032750975
38,0.49230769230769234,0.6057692307692307,0.9442307692307692,0.9207920792079208,0.1698124949351766,0.04749389087415697,0.19423076923076923,0.9925,0.8166666666666667,0.2681818181818182,0.9954545454545455,0.3460504994802759,0.7963992835087943,0.7149528861003446,0.11483911472384067,0.17302524974013794,0.09990347320283277
39,0.5307692307692308,0.7115384615384616,0.8846153846153846,0.8301886792452831,0.15523303829804166,0.05119916306374464,0.20384615384615384,0.965,0.7666666666666667,0.4727272727272727,0.9681818181818181,0.3992077786048198,0.6861686849617932,0.7738657412247427,0.10769268853241987,0.1996038893024099,0.0915673514592017
40,0.47884615384615387,0.7057692307692308,0.9307692307692308,0.8198198198198198,0.18256829627980573,0.05797606769850102,0.21346153846153845,0.975,0.8416666666666667,0.43636363636363634,0.9863636363636363,0.46567985555802505,0.918607539093735,0.767064067324194,0.11290207143260655,0.23283992777901252,0.12263876077589107
41,0.39615384615384613,0.698076923076923,0.9019230769230769,0.7924528301886793,0.17168573399707135,0.053583928740974854,0.20384615384615384,0.99,0.85,0.4681818181818182,0.9636363636363636,0.4377227940481123,0.7907929424190675,0.7534344712497947,0.0920227688659434,0.21886139702405616,0.10241991866072153
42,0.475,0.6826923076923077,0.926923076923077,0.8611111111111112,0.16579156739272902,0.04987590692051368,0.2076923076923077,0.98,0.8333333333333334,0.41363636363636364,0.9636363636363636,0.398419614183145,0.8015593174070514,0.7286465760012502,0.10663635483782027,0.1992098070915725,0.0998859686071014
43,0.5,0.6942307692307692,0.9115384615384615,0.9357798165137615,0.18147520059414737,0.046112749807656894,0.20961538461538462,0.9825,0.85,0.40454545454545454,0.9590909090909091,0.4487209201108924,0.8018885620631901,0.7608887036671699,0.11869854978773187,0.2243604600554462,0.10606995634154615
44,0.551923076923077,0.7923076923076923,0.9134615384615384,0.9142857142857143,0.17235115549871186,0.0429252014364578,0.20192307692307693,0.9875,0.8333333333333334,0.55,0.9590909090909091,0.5778787418968532,0.7568224936050008,0.7703502708277946,0.11882710978326072,0.2889393709484266,0.10048619933073971
45,0.5173076923076924,0.6884615384615385,0.926923076923077,0.8870967741935484,0.1662068591199193,0.05388252423591345,0.23846153846153847,0.9725,0.9416666666666667,0.45454545454545453,0.9863636363636363,0.407508169845487,0.7509592123222736,0.8290459536989537,0.11380570540228835,0.2037540849227435,0.11444715928367977
46,0.49230769230769234,0.6557692307692308,0.9307692307692308,0.8888888888888888,0.19765614382804317,0.05115566161959472,0.225,0.97,0.875,0.35,0.9863636363636363,0.4331680549623218,0.8449164978875049,0.8162551686640356,0.12439203737841992,0.2165840274811609,0.112124939294785
47,0.5134615384615384,0.6846153846153846,0.9442307692307692,0.8899082568807339,0.1661328967101015,0.04990545494152546,0.20961538461538462,0.9875,0.8666666666666667,0.38181818181818183,0.990909090909091,0.4003813902448594,0.8404360471949408,0.770311068002743,0.10792384282115652,0.2001906951224297,0.10616724976132563
48,0.48846153846153845,0.6923076923076923,0.9326923076923077,0.8803418803418803,0.17319800225158855,0.04966126980144522,0.225,0.9775,0.9,0.41818181818181815,0.990909090909091,0.43306685108597887,0.8072544291687889,0.827074658565032,0.10959805463778599,0.21653342554298943,0.11550718428626398
49,0.46153846153846156,0.6519230769230769,0.9153846153846154,0.8660714285714286,0.1758998023334999,0.04926443985220709,0.2153846153846154,0.9825,0.875,0.4,0.9863636363636363,0.3748787234305624,0.8449885146406667,0.785659077504438,0.10418288351506305,0.1874393617152812,0.11204544114264114
